Review_Date,Reviewer_Nationality,negative,positive,score
30/09/2022, Greece , Elevator could be better, Excellent staff very clean hotel super location certainly will be our choice again for our next visit Thank you very much ,9.6
30/09/2022, Israel , Price of food, Design,9.2
30/09/2022, United Kingdom , Noise from fan or air con during the night , Extremely helpful staff ,7.9
30/09/2022, United Kingdom ,No Negative, Great location for public transport to anywhere in Paris Safety boxes provided for luggage after departure ,10
30/09/2022, Ireland , A slight odour of cigar smoke not sure where it was coming from though all london hotels were smoke free, Great view staff were excellent good choice of quality food at breakfast,7.9
30/09/2022, Belgium , No window, Location and quiet place,7.5
30/09/2022, United States of America , Didn t care for the pillows the side of the tub was very high I as an elderly person found it difficult to get in out of , Bed was very comfortable room was spacious ,8.3
30/09/2022, United Kingdom , Nothing, It was really a short trip and Mercure made the difference ,10
30/09/2022, United Kingdom , The spa was disappointing to say the least it was like a back street spa 1 small room Nowhere to change A chair to put my clothes on 102 for this experience Disgraceful and unbelievable for a hotel of your standard, Food was excellent as were the staff,9.2
30/09/2022, Sweden , Maybe the room was little to small but the probelem was the missing of an ordinary chair , The bed was good and the Hotel was in the center of London near to everything Good breakfast was good ,7.9
30/09/2022, Canada , The upholstered lobby furniture chairs and sofas should be replaced , The Hotel Regina was in the perfect location to get to all the important sites in Paris The hotel staff was friendly and helpful The old world charm of this historic hotel was just what we wanted Our family room was perfect for us with our 2 children It had lots of room especially for a hotel in Paris and having the 2 fully fitted bathrooms was great Our room faced the Louvre but we had a view of the Eiffel Tower from our small balcony There was no noise from the street below thanks to the double windows The cleaning staff was excellent and our girls loved the turn down service at night The food at the restaurant was good and the bar stayed open late one evening so I could work ,9.2
30/09/2022, United Kingdom ,No Negative, the location the price the staff the breakfast the lot very nice boutique hotel 5 minutes walk from moulin rouge 10 minutes from sacred coeur real values for money will come back again merci,10
30/09/2022, United States of America , Hotel was being renovated no aircon no lift this was not mentioned in description Shower didn t work properly bed saggy plastic on window so no ventilation noisy , Staff were good location good ,5
29/09/2022, United Kingdom ,No Negative, Bathroom was great low profile shower tray fab for showering the kids Flannels for little eyes while shampooing Comfy bed ,9.2
29/09/2022, United Kingdom ,No Negative, Very comfy bed,7.5
29/09/2022, United Kingdom , Noisy water pipes,No Positive,8.8
29/09/2022, United Arab Emirates , Nothing, Everything was around us,10
29/09/2022, Ireland , The bar area and lobby are very pleasant but the prices at the bar are eye wateringly expensive e g 19 for a margarita The mini bar prices even more so 15 for cashew nuts 7 for a mineral water There are however plenty of shops and bars nearby , This was my second trip to the Pullman It s a lovely hotel perfectly located in the Montparnasse area and very convenient to the metro and train stations The room was very clean and comfortable with great views of the city There are some nice touches like a robe and slippers Staff are very helpful and friendly It was good value also Breakfast was included and was decent cold meats cheese fruit cereals croissants and various breads ,9.6
29/09/2022, United Kingdom , Too much traffic noise from main road had a fairly sleepless night from the sirens and noise of cars and buses , The staff were very helpful and were always on hand to answer any questions The breakfast is great room service selection is good Large 42 TV Clean rooms and comfy bed ,8.3
29/09/2022, United Kingdom , Feels a bit tired , All in all cosy hotel ,8.3
29/09/2022, Canada , This is a really old hotel rather than a proper modern hotel Make sure you look at the pictures of the rooms before booking It is definitely not a modern 4 star hotel , The personal were very polite ,5.4
29/09/2022, United Kingdom ,No Negative, Fresh milk water in the fridge Free breakfast Friendly staff ,10
28/09/2022, United Kingdom , It was a well worn hotel with little to offer other than its position which is excellent The staff were friendly but the whole hotel is well below the standards set by the big chains such as travel lodge let alone any Mayfair top grade hotels I couldn t recommend it to anyone I know , Friendly staff,4.6
28/09/2022, United Kingdom , There was no toothpaste in the room although pretty much every other wash essential , firstly the greeting from the reception staff and the warm cookie were a great welcome The bed was a great size and the facilities were great Breakfast was fantastic and the hash browns were out of this world They also looked after my bags after checkout until I was leaving London ,9.6
28/09/2022, United Kingdom ,No Negative, The staff were great but the hotel itself is dated and desperately in need of renovation For example when I got to the room it was chilly and rather than just turn up the thermostat I was advised to go to the wardrobe to get the portable heater out and plug that in The room was very compact and beige ,6.3
28/09/2022, France , Room was claustrophobic a cramped sleeping quarter 40 cm on the left of the bed 70 cm at the foot My husband and I had to make sure not to move at the same time in the room then a sort of corridor with a sofa and Bathroom WC View on a concrete wall In fact the whole hotel was too small too cramped too dark One could call it a bed and breakfast without a breakfast room Corridor to stuffy and hot lift miniscule Not 186 euros worth I am afraid , Location is very good The room was silent at night ,5.8
28/09/2022, Spain , Nothing I would stay here again , Amazing location lovely decor Made most of the space for very small rooms The staff was friendly helpful and went out of their way to make sure we were comfortable Breakfast was delicious with great selection ,10
28/09/2022, United Kingdom , We had to queue a bit for breakfast as they struggled to keep up with demand however food was of a high standard and worth the wait, Modern well equipped clean rooms ,9.6
28/09/2022, United Kingdom , Only one chair in the room Shower not very powerful, Warm gooey chocolate chip cookies on arrival Good selection at breakfast Comfy bed Great location Spotless,8.3
28/09/2022, United Kingdom ,No Negative, Excellent service,9.2
27/09/2022, United Kingdom ,No Negative, very comfortable hotel highly recommend it,10
27/09/2022, United Kingdom , Breakfast far too expensive , The central location ,9.2
27/09/2022, United Kingdom , Would have loved to have more info on the history of the hotel and the area available in the guest info in the bedroom , Bed very comfy and our room 101 was very quiet Hotel position is excellent for theatres and is right behind the British Museum lovely traditional older hotel loved the character ,9.6
27/09/2022, United Kingdom , The bathroom needs a few little touch ups here and there There was black mould on the silicon sealant in the shower the sink had a few little chips , The bed was really comfy the d cor in the bedroom was really nice too ,7.5
27/09/2022, United Kingdom , Shower toilet room to small, Staff are always helpful and friendly ,7.5
27/09/2022, United Kingdom , External noise from emergency services vehicles was very noticeable , Great location Within easy access of A406 North Circular road and Ealing Common Tube Station Good place for a base to explore London ,7.9
27/09/2022, United Kingdom ,No Negative, The staff are just so attentive and polite ,10
27/09/2022, United Kingdom ,No Negative, Location was great for where we wanted needed to be for theatre train and tube and sightseeing ,9.2
27/09/2022, United Kingdom , No Bluetooth music player, Breakfast was amazing,10
27/09/2022, United Kingdom , Cost of drinks at the bar extortionate , Hotel is great value for central London and with it being so new it is beautiful and clean The bathrooms are especially impressive and the room size facilities are so much better than you get at competitor chains in the area,10
27/09/2022, Australia , hot water in shower did not work well, Staff attitude breakfast quality,8.3
27/09/2022, United Kingdom , My only criticism would be extremely small bathroom no free surface space to place items of clothing etc , Polite and helpful staff Attention to detail with decor Extreme cleanliness completely soundproof room,10
27/09/2022, United Kingdom , This is not a glossy business hotel It is rather old fashioned and a little worn The interior needs a touch of paint in places but I found the former charming and the latter acceptable given the overall level of service and the cost , The hotel is situated in a quiet backwater just off Park Lane Piccadilly in an area more interesting than either My single room was compact but great value Clean quiet with a good bathroom It is excellent value for central London and if like me you are a non business traveller and need a convenient base for an event at one of the larger hotels or clubs without paying a silly amount it s perfect Good generous breakfast ,7.9
27/09/2022, United States of America , I have no complaint at all about this hotel , The room was perfect Comfy bed with duvet large bathroom and free WiFi ,10
27/09/2022, United Kingdom , expensive breakfast Plenty of cafe s nearby, very comfortable clean and spacious room,10
26/09/2022, Brazil , Room service was a little late and wrong however was not charged Room could be slightly bigger but that s a recurrent issue in big cities Unfortunately we were not able to have dinner at Cleo next time , Decoration and small details Great portable wifi device provided ,9.6
